2018-04-19 01:01:59,410 - root - INFO - Start
2018-04-19 01:01:59,551 - root - INFO - STATUS 1:True cache_layer {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>}
2018-04-19 01:01:59,552 - root - INFO - STATUS 2:True legacy_api {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>}
2018-04-19 01:01:59,552 - root - INFO - STATUS 3:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'meta', 'market': 'currencies', 'parser': <function currencies at 0x10884a0d0>}
2018-04-19 01:01:59,553 - root - INFO - STATUS 4:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'dota2', 'market': 'opskins.com', 'parser': <function opskins at 0x10902f950>}
2018-04-19 01:01:59,553 - root - INFO - STATUS 5:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'dota2', 'market': 'dota.money', 'parser': <function dotamoney at 0x10902f9d8>}
2018-04-19 01:01:59,553 - root - INFO - STATUS 6:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'bs-token': <pyotp.totp.TOTP object at 0x108426e80>, 'bs-api-key': '6651e3e2-5842-4538-8b91-12f67211fabe', 'game': 'dota2', 'market': 'bitskins.com', 'sale_purchase': False, 'parser': <function bitskins at 0x10902fa60>}
2018-04-19 01:02:00,090 - root - INFO - 0.233 	 meta:currencies upd loaded
2018-04-19 01:02:11,264 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:02:11,372 - root - INFO - 0.108 	 dota2:opskins.com server cache updated
2018-04-19 01:02:11,376 - root - INFO - 0.004 	 dota2:opskins.com last time updated
2018-04-19 01:02:15,743 - root - INFO - 1.661 	 dota2:dota.money upd loaded
2018-04-19 01:02:15,873 - root - INFO - 0.007 	 dota2:dota.money av dropped
2018-04-19 01:02:15,963 - root - INFO - 0.089 	 dota2:dota.money server cache updated
2018-04-19 01:02:15,966 - root - INFO - 0.003 	 dota2:dota.money last time updated
2018-04-19 01:02:16,564 - root - INFO - 0.187 	 dota2:opskins.com upd loaded
2018-04-19 01:02:16,715 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:02:16,818 - root - INFO - 0.102 	 dota2:opskins.com server cache updated
2018-04-19 01:02:16,821 - root - INFO - 0.003 	 dota2:opskins.com last time updated
2018-04-19 01:02:17,401 - root - INFO - 2.108 	 dota2:bitskins.com upd loaded
2018-04-19 01:02:17,599 - root - INFO - 0.011 	 dota2:bitskins.com av dropped
2018-04-19 01:02:17,705 - root - INFO - 0.105 	 dota2:bitskins.com server cache updated
2018-04-19 01:02:17,710 - root - INFO - 0.004 	 dota2:bitskins.com last time updated
2018-04-19 01:02:22,673 - root - INFO - 0.851 	 dota2:opskins.com upd loaded
2018-04-19 01:02:22,814 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:02:22,919 - root - INFO - 0.105 	 dota2:opskins.com server cache updated
2018-04-19 01:02:22,923 - root - INFO - 0.004 	 dota2:opskins.com last time updated
2018-04-19 01:02:23,259 - root - INFO - 2.291 	 dota2:dota.money upd loaded
2018-04-19 01:02:23,392 - root - INFO - 0.007 	 dota2:dota.money av dropped
2018-04-19 01:02:23,478 - root - INFO - 0.085 	 dota2:dota.money server cache updated
2018-04-19 01:02:23,481 - root - INFO - 0.003 	 dota2:dota.money last time updated
2018-04-19 01:02:24,896 - root - INFO - 2.185 	 dota2:bitskins.com upd loaded
2018-04-19 01:02:25,048 - root - INFO - 0.006 	 dota2:bitskins.com av dropped
2018-04-19 01:02:25,158 - root - INFO - 0.110 	 dota2:bitskins.com server cache updated
2018-04-19 01:02:25,162 - root - INFO - 0.004 	 dota2:bitskins.com last time updated
2018-04-19 01:02:28,169 - root - INFO - 0.244 	 dota2:opskins.com upd loaded
2018-04-19 01:02:28,299 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:02:28,463 - root - INFO - 0.164 	 dota2:opskins.com server cache updated
2018-04-19 01:02:28,468 - root - INFO - 0.004 	 dota2:opskins.com last time updated
2018-04-19 01:02:29,555 - root - INFO - STATUS 1:True cache_layer {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>}
2018-04-19 01:02:29,555 - root - INFO - STATUS 2:True legacy_api {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>}
2018-04-19 01:02:29,556 - root - INFO - STATUS 3:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'meta', 'market': 'currencies', 'parser': <function currencies at 0x10884a0d0>}
2018-04-19 01:02:29,556 - root - INFO - STATUS 4:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'dota2', 'market': 'opskins.com', 'parser': <function opskins at 0x10902f950>}
2018-04-19 01:02:29,556 - root - INFO - STATUS 5:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'dota2', 'market': 'dota.money', 'parser': <function dotamoney at 0x10902f9d8>}
2018-04-19 01:02:29,557 - root - INFO - STATUS 6:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'bs-token': <pyotp.totp.TOTP object at 0x108426e80>, 'bs-api-key': '6651e3e2-5842-4538-8b91-12f67211fabe', 'game': 'dota2', 'market': 'bitskins.com', 'sale_purchase': False, 'parser': <function bitskins at 0x10902fa60>}
2018-04-19 01:02:30,236 - root - INFO - 1.753 	 dota2:dota.money upd loaded
2018-04-19 01:02:30,390 - root - INFO - 0.007 	 dota2:dota.money av dropped
2018-04-19 01:02:30,477 - root - INFO - 0.087 	 dota2:dota.money server cache updated
2018-04-19 01:02:30,482 - root - INFO - 0.005 	 dota2:dota.money last time updated
2018-04-19 01:02:32,172 - root - INFO - 2.009 	 dota2:bitskins.com upd loaded
2018-04-19 01:02:32,320 - root - INFO - 0.005 	 dota2:bitskins.com av dropped
2018-04-19 01:02:32,469 - root - INFO - 0.149 	 dota2:bitskins.com server cache updated
2018-04-19 01:02:32,476 - root - INFO - 0.007 	 dota2:bitskins.com last time updated
2018-04-19 01:02:33,699 - root - INFO - 0.230 	 dota2:opskins.com upd loaded
2018-04-19 01:02:33,847 - root - INFO - 0.004 	 dota2:opskins.com av dropped
2018-04-19 01:02:33,956 - root - INFO - 0.108 	 dota2:opskins.com server cache updated
2018-04-19 01:02:33,959 - root - INFO - 0.003 	 dota2:opskins.com last time updated
2018-04-19 01:02:37,214 - root - INFO - 1.731 	 dota2:dota.money upd loaded
2018-04-19 01:02:37,348 - root - INFO - 0.007 	 dota2:dota.money av dropped
2018-04-19 01:02:37,430 - root - INFO - 0.081 	 dota2:dota.money server cache updated
2018-04-19 01:02:37,433 - root - INFO - 0.003 	 dota2:dota.money last time updated
2018-04-19 01:02:39,154 - root - INFO - 0.194 	 dota2:opskins.com upd loaded
2018-04-19 01:02:39,298 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:02:39,398 - root - INFO - 0.100 	 dota2:opskins.com server cache updated
2018-04-19 01:02:39,402 - root - INFO - 0.004 	 dota2:opskins.com last time updated
2018-04-19 01:02:39,404 - root - INFO - 1.927 	 dota2:bitskins.com upd loaded
2018-04-19 01:02:39,535 - root - INFO - 0.005 	 dota2:bitskins.com av dropped
2018-04-19 01:02:39,651 - root - INFO - 0.115 	 dota2:bitskins.com server cache updated
2018-04-19 01:02:39,655 - root - INFO - 0.004 	 dota2:bitskins.com last time updated
2018-04-19 01:02:44,653 - root - INFO - 0.247 	 dota2:opskins.com upd loaded
2018-04-19 01:02:44,746 - root - INFO - 2.312 	 dota2:dota.money upd loaded
2018-04-19 01:02:44,868 - root - INFO - 0.004 	 dota2:opskins.com av dropped
2018-04-19 01:02:45,022 - root - INFO - 0.016 	 dota2:dota.money av dropped
2018-04-19 01:02:45,067 - root - INFO - 0.198 	 dota2:opskins.com server cache updated
2018-04-19 01:02:45,141 - root - INFO - 0.119 	 dota2:dota.money server cache updated
2018-04-19 01:02:45,143 - root - INFO - 0.076 	 dota2:opskins.com last time updated
2018-04-19 01:02:45,145 - root - INFO - 0.003 	 dota2:dota.money last time updated
2018-04-19 01:02:46,694 - root - INFO - 2.038 	 dota2:bitskins.com upd loaded
2018-04-19 01:02:46,831 - root - INFO - 0.005 	 dota2:bitskins.com av dropped
2018-04-19 01:02:46,936 - root - INFO - 0.104 	 dota2:bitskins.com server cache updated
2018-04-19 01:02:46,940 - root - INFO - 0.004 	 dota2:bitskins.com last time updated
2018-04-19 01:02:50,355 - root - INFO - 0.211 	 dota2:opskins.com upd loaded
2018-04-19 01:02:50,525 - root - INFO - 0.004 	 dota2:opskins.com av dropped
2018-04-19 01:02:50,656 - root - INFO - 0.130 	 dota2:opskins.com server cache updated
2018-04-19 01:02:50,662 - root - INFO - 0.006 	 dota2:opskins.com last time updated
2018-04-19 01:02:51,951 - root - INFO - 1.805 	 dota2:dota.money upd loaded
2018-04-19 01:02:52,145 - root - INFO - 0.011 	 dota2:dota.money av dropped
2018-04-19 01:02:52,243 - root - INFO - 0.097 	 dota2:dota.money server cache updated
2018-04-19 01:02:52,249 - root - INFO - 0.005 	 dota2:dota.money last time updated
2018-04-19 01:02:54,222 - root - INFO - 2.281 	 dota2:bitskins.com upd loaded
2018-04-19 01:02:54,363 - root - INFO - 0.006 	 dota2:bitskins.com av dropped
2018-04-19 01:02:54,491 - root - INFO - 0.128 	 dota2:bitskins.com server cache updated
2018-04-19 01:02:54,495 - root - INFO - 0.004 	 dota2:bitskins.com last time updated
2018-04-19 01:02:55,852 - root - INFO - 0.189 	 dota2:opskins.com upd loaded
2018-04-19 01:02:55,980 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:02:56,088 - root - INFO - 0.107 	 dota2:opskins.com server cache updated
2018-04-19 01:02:56,092 - root - INFO - 0.004 	 dota2:opskins.com last time updated
2018-04-19 01:02:59,185 - root - INFO - 1.934 	 dota2:dota.money upd loaded
2018-04-19 01:02:59,318 - root - INFO - 0.007 	 dota2:dota.money av dropped
2018-04-19 01:02:59,408 - root - INFO - 0.090 	 dota2:dota.money server cache updated
2018-04-19 01:02:59,412 - root - INFO - 0.003 	 dota2:dota.money last time updated
2018-04-19 01:02:59,557 - root - INFO - STATUS 1:True cache_layer {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>}
2018-04-19 01:02:59,557 - root - INFO - STATUS 2:True legacy_api {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>}
2018-04-19 01:02:59,558 - root - INFO - STATUS 3:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'meta', 'market': 'currencies', 'parser': <function currencies at 0x10884a0d0>}
2018-04-19 01:02:59,558 - root - INFO - STATUS 4:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'dota2', 'market': 'opskins.com', 'parser': <function opskins at 0x10902f950>}
2018-04-19 01:02:59,558 - root - INFO - STATUS 5:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'dota2', 'market': 'dota.money', 'parser': <function dotamoney at 0x10902f9d8>}
2018-04-19 01:02:59,558 - root - INFO - STATUS 6:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'bs-token': <pyotp.totp.TOTP object at 0x108426e80>, 'bs-api-key': '6651e3e2-5842-4538-8b91-12f67211fabe', 'game': 'dota2', 'market': 'bitskins.com', 'sale_purchase': False, 'parser': <function bitskins at 0x10902fa60>}
2018-04-19 01:03:01,280 - root - INFO - 0.187 	 dota2:opskins.com upd loaded
2018-04-19 01:03:01,412 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:03:01,518 - root - INFO - 0.106 	 dota2:opskins.com server cache updated
2018-04-19 01:03:01,522 - root - INFO - 0.004 	 dota2:opskins.com last time updated
2018-04-19 01:03:02,693 - root - INFO - 3.197 	 dota2:bitskins.com upd loaded
2018-04-19 01:03:02,856 - root - INFO - 0.008 	 dota2:bitskins.com av dropped
2018-04-19 01:03:03,004 - root - INFO - 0.147 	 dota2:bitskins.com server cache updated
2018-04-19 01:03:03,008 - root - INFO - 0.004 	 dota2:bitskins.com last time updated
2018-04-19 01:03:06,110 - root - INFO - 1.697 	 dota2:dota.money upd loaded
2018-04-19 01:03:06,246 - root - INFO - 0.007 	 dota2:dota.money av dropped
2018-04-19 01:03:06,328 - root - INFO - 0.082 	 dota2:dota.money server cache updated
2018-04-19 01:03:06,332 - root - INFO - 0.003 	 dota2:dota.money last time updated
2018-04-19 01:03:06,711 - root - INFO - 0.188 	 dota2:opskins.com upd loaded
2018-04-19 01:03:06,847 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:03:06,948 - root - INFO - 0.101 	 dota2:opskins.com server cache updated
2018-04-19 01:03:06,952 - root - INFO - 0.004 	 dota2:opskins.com last time updated
2018-04-19 01:03:10,017 - root - INFO - 2.008 	 dota2:bitskins.com upd loaded
2018-04-19 01:03:10,147 - root - INFO - 0.005 	 dota2:bitskins.com av dropped
2018-04-19 01:03:10,260 - root - INFO - 0.113 	 dota2:bitskins.com server cache updated
2018-04-19 01:03:10,264 - root - INFO - 0.004 	 dota2:bitskins.com last time updated
2018-04-19 01:03:12,188 - root - INFO - 0.236 	 dota2:opskins.com upd loaded
2018-04-19 01:03:12,327 - root - INFO - 0.003 	 dota2:opskins.com av dropped
2018-04-19 01:03:12,444 - root - INFO - 0.116 	 dota2:opskins.com server cache updated
2018-04-19 01:03:12,448 - root - INFO - 0.004 	 dota2:opskins.com last time updated
2018-04-19 01:03:13,323 - root - INFO - 1.991 	 dota2:dota.money upd loaded
2018-04-19 01:03:13,459 - root - INFO - 0.007 	 dota2:dota.money av dropped
2018-04-19 01:03:13,552 - root - INFO - 0.092 	 dota2:dota.money server cache updated
2018-04-19 01:03:13,556 - root - INFO - 0.003 	 dota2:dota.money last time updated
2018-04-19 01:03:16,819 - root - INFO - 1.554 	 dota2:bitskins.com upd loaded
2018-04-19 01:03:16,965 - root - INFO - 0.006 	 dota2:bitskins.com av dropped
2018-04-19 01:03:17,082 - root - INFO - 0.117 	 dota2:bitskins.com server cache updated
2018-04-19 01:03:17,086 - root - INFO - 0.004 	 dota2:bitskins.com last time updated
2018-04-19 01:03:17,656 - root - INFO - 0.206 	 dota2:opskins.com upd loaded
2018-04-19 01:03:17,779 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:03:17,882 - root - INFO - 0.102 	 dota2:opskins.com server cache updated
2018-04-19 01:03:17,885 - root - INFO - 0.004 	 dota2:opskins.com last time updated
2018-04-19 01:03:20,249 - root - INFO - 1.693 	 dota2:dota.money upd loaded
2018-04-19 01:03:20,382 - root - INFO - 0.007 	 dota2:dota.money av dropped
2018-04-19 01:03:20,464 - root - INFO - 0.081 	 dota2:dota.money server cache updated
2018-04-19 01:03:20,467 - root - INFO - 0.003 	 dota2:dota.money last time updated
2018-04-19 01:03:23,093 - root - INFO - 0.207 	 dota2:opskins.com upd loaded
2018-04-19 01:03:23,228 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:03:23,329 - root - INFO - 0.101 	 dota2:opskins.com server cache updated
2018-04-19 01:03:23,332 - root - INFO - 0.003 	 dota2:opskins.com last time updated
2018-04-19 01:03:24,278 - root - INFO - 2.191 	 dota2:bitskins.com upd loaded
2018-04-19 01:03:24,415 - root - INFO - 0.005 	 dota2:bitskins.com av dropped
2018-04-19 01:03:24,523 - root - INFO - 0.108 	 dota2:bitskins.com server cache updated
2018-04-19 01:03:24,527 - root - INFO - 0.003 	 dota2:bitskins.com last time updated
2018-04-19 01:03:27,138 - root - INFO - 1.670 	 dota2:dota.money upd loaded
2018-04-19 01:03:27,277 - root - INFO - 0.007 	 dota2:dota.money av dropped
2018-04-19 01:03:27,361 - root - INFO - 0.083 	 dota2:dota.money server cache updated
2018-04-19 01:03:27,364 - root - INFO - 0.003 	 dota2:dota.money last time updated
2018-04-19 01:03:28,521 - root - INFO - 0.187 	 dota2:opskins.com upd loaded
2018-04-19 01:03:28,642 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:03:28,747 - root - INFO - 0.104 	 dota2:opskins.com server cache updated
2018-04-19 01:03:28,751 - root - INFO - 0.004 	 dota2:opskins.com last time updated
2018-04-19 01:03:29,564 - root - INFO - STATUS 1:True cache_layer {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>}
2018-04-19 01:03:29,564 - root - INFO - STATUS 2:True legacy_api {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>}
2018-04-19 01:03:29,564 - root - INFO - STATUS 3:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'meta', 'market': 'currencies', 'parser': <function currencies at 0x10884a0d0>}
2018-04-19 01:03:29,565 - root - INFO - STATUS 4:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'dota2', 'market': 'opskins.com', 'parser': <function opskins at 0x10902f950>}
2018-04-19 01:03:29,565 - root - INFO - STATUS 5:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'dota2', 'market': 'dota.money', 'parser': <function dotamoney at 0x10902f9d8>}
2018-04-19 01:03:29,565 - root - INFO - STATUS 6:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'bs-token': <pyotp.totp.TOTP object at 0x108426e80>, 'bs-api-key': '6651e3e2-5842-4538-8b91-12f67211fabe', 'game': 'dota2', 'market': 'bitskins.com', 'sale_purchase': False, 'parser': <function bitskins at 0x10902fa60>}
2018-04-19 01:03:31,913 - root - INFO - 2.385 	 dota2:bitskins.com upd loaded
2018-04-19 01:03:32,046 - root - INFO - 0.005 	 dota2:bitskins.com av dropped
2018-04-19 01:03:32,181 - root - INFO - 0.134 	 dota2:bitskins.com server cache updated
2018-04-19 01:03:32,185 - root - INFO - 0.004 	 dota2:bitskins.com last time updated
2018-04-19 01:03:33,989 - root - INFO - 0.238 	 dota2:opskins.com upd loaded
2018-04-19 01:03:34,057 - root - INFO - 1.692 	 dota2:dota.money upd loaded
2018-04-19 01:03:34,127 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:03:34,196 - root - INFO - 0.011 	 dota2:dota.money av dropped
2018-04-19 01:03:34,233 - root - INFO - 0.106 	 dota2:opskins.com server cache updated
2018-04-19 01:03:34,293 - root - INFO - 0.096 	 dota2:dota.money server cache updated
2018-04-19 01:03:34,294 - root - INFO - 0.061 	 dota2:opskins.com last time updated
2018-04-19 01:03:34,296 - root - INFO - 0.002 	 dota2:dota.money last time updated
2018-04-19 01:03:39,493 - root - INFO - 0.197 	 dota2:opskins.com upd loaded
2018-04-19 01:03:39,635 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:03:39,649 - root - INFO - 2.463 	 dota2:bitskins.com upd loaded
2018-04-19 01:03:39,791 - root - INFO - 0.155 	 dota2:opskins.com server cache updated
2018-04-19 01:03:39,792 - root - INFO - 0.006 	 dota2:bitskins.com av dropped
2018-04-19 01:03:39,795 - root - INFO - 0.004 	 dota2:opskins.com last time updated
2018-04-19 01:03:39,914 - root - INFO - 0.121 	 dota2:bitskins.com server cache updated
2018-04-19 01:03:39,918 - root - INFO - 0.004 	 dota2:bitskins.com last time updated
2018-04-19 01:03:41,209 - root - INFO - 1.912 	 dota2:dota.money upd loaded
2018-04-19 01:03:41,341 - root - INFO - 0.007 	 dota2:dota.money av dropped
2018-04-19 01:03:41,434 - root - INFO - 0.092 	 dota2:dota.money server cache updated
2018-04-19 01:03:41,438 - root - INFO - 0.004 	 dota2:dota.money last time updated
2018-04-19 01:03:44,988 - root - INFO - 0.191 	 dota2:opskins.com upd loaded
2018-04-19 01:03:45,115 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:03:45,222 - root - INFO - 0.107 	 dota2:opskins.com server cache updated
2018-04-19 01:03:45,226 - root - INFO - 0.004 	 dota2:opskins.com last time updated
2018-04-19 01:03:46,841 - root - INFO - 1.923 	 dota2:bitskins.com upd loaded
2018-04-19 01:03:46,975 - root - INFO - 0.005 	 dota2:bitskins.com av dropped
2018-04-19 01:03:47,081 - root - INFO - 0.106 	 dota2:bitskins.com server cache updated
2018-04-19 01:03:47,132 - root - INFO - 0.052 	 dota2:bitskins.com last time updated
2018-04-19 01:03:48,507 - root - ERROR - Expecting value: line 1 column 1 (char 0)
Traceback (most recent call last):
  File "src/processes/parser_wrapper.py", line 41, in parser_wrapper
    upd = parser(kwargs, scraper)
  File "src/parsers/dota2/dotamoney.py", line 8, in dotamoney
    resp = json.loads(resp.text)
  File "/usr/local/Cellar/python/3.6.4_3/Frameworks/Python.framework/Versions/3.6/lib/python3.6/json/__init__.py", line 354, in loads
    return _default_decoder.decode(s)
  File "/usr/local/Cellar/python/3.6.4_3/Frameworks/Python.framework/Versions/3.6/lib/python3.6/json/decoder.py", line 339, in decode
    obj, end = self.raw_decode(s, idx=_w(s, 0).end())
  File "/usr/local/Cellar/python/3.6.4_3/Frameworks/Python.framework/Versions/3.6/lib/python3.6/json/decoder.py", line 357, in raw_decode
    raise JSONDecodeError("Expecting value", s, err.value) from None
json.decoder.JSONDecodeError: Expecting value: line 1 column 1 (char 0)
2018-04-19 01:03:50,469 - root - INFO - 0.242 	 dota2:opskins.com upd loaded
2018-04-19 01:03:50,593 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:03:50,695 - root - INFO - 0.101 	 dota2:opskins.com server cache updated
2018-04-19 01:03:50,699 - root - INFO - 0.004 	 dota2:opskins.com last time updated
2018-04-19 01:03:54,561 - root - INFO - 2.428 	 dota2:bitskins.com upd loaded
2018-04-19 01:03:54,695 - root - INFO - 0.005 	 dota2:bitskins.com av dropped
2018-04-19 01:03:54,816 - root - INFO - 0.121 	 dota2:bitskins.com server cache updated
2018-04-19 01:03:54,820 - root - INFO - 0.004 	 dota2:bitskins.com last time updated
2018-04-19 01:03:55,906 - root - INFO - 0.206 	 dota2:opskins.com upd loaded
2018-04-19 01:03:56,042 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:03:56,149 - root - INFO - 0.106 	 dota2:opskins.com server cache updated
2018-04-19 01:03:56,153 - root - INFO - 0.004 	 dota2:opskins.com last time updated
2018-04-19 01:03:59,567 - root - INFO - STATUS 1:True cache_layer {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>}
2018-04-19 01:03:59,567 - root - INFO - STATUS 2:True legacy_api {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>}
2018-04-19 01:03:59,568 - root - INFO - STATUS 3:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'meta', 'market': 'currencies', 'parser': <function currencies at 0x10884a0d0>}
2018-04-19 01:03:59,568 - root - INFO - STATUS 4:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'dota2', 'market': 'opskins.com', 'parser': <function opskins at 0x10902f950>}
2018-04-19 01:03:59,568 - root - INFO - STATUS 5:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'dota2', 'market': 'dota.money', 'parser': <function dotamoney at 0x10902f9d8>}
